,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
27,"Anna Kendrick, Rebel Wilson, Brittany Snow, Anna Camp",2 wins & 3 nominations.,"$104,880,310",USA,20 Mar 2018,Trish Sie,"Comedy, Music",English,40,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",https://ia.media-imdb.com/images/M/MV5BMTU5NDI1MjkwMF5BMl5BanBnXkFtZTgwNjIxNTY2MzI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",22 Dec 2017,True,93 min,Pitch Perfect 3,movie,N/A,"Kay Cannon (screenplay by), Mike White (screenplay by), Kay Cannon (story by), Mickey Rapkin (based on the book by)",2017,tt4765284,6.0,"23,107"
28,"Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow",1 win & 3 nominations.,"$102,934,995",USA,20 Feb 2018,Sean Anders,Comedy,English,30,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",https://ia.media-imdb.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",10 Nov 2017,True,100 min,Daddy's Home 2,movie,http://www.daddyshomemovie.com/,"Sean Anders, John Morris, Brian Burns (characters)",2017,tt5657846,6.0,"31,110"
29,"Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse",18 nominations.,"$101,555,644","Malta, USA",27 Feb 2018,Kenneth Branagh,"Crime, Drama, Mystery","English, French, German, Arabic",52,"When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case.",https://ia.media-imdb.com/images/M/MV5BMTAxNDkxODIyMDZeQTJeQWpwZ15BbWU4MDQ2Mjg4NDIy._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",10 Nov 2017,True,114 min,Murder on the Orient Express,movie,http://CluesAreEverywhere.com,"Michael Green (screenplay by), Agatha Christie (based upon the novel by)",2017,tt3402236,6.6,"132,758"
30,"Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist",3 nominations.,"$101,788,793",USA,24 Oct 2017,David F. Sandberg,"Horror, Mystery, Thriller","English, Spanish",62,"12 years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they soon become the target of the dollmaker's possessed creation, Annabelle.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzIwMjMxNF5BMl5BanBnXkFtZTgwMDQ3NTc2MjI@._V1_SX300.jpg,New Line Cinema,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",11 Aug 2017,True,109 min,Annabelle: Creation,movie,http://www.annabellemovie.com,"Gary Dauberman, Gary Dauberman (based on characters created by)",2017,tt5140878,6.6,"65,569"
31,"Taron Egerton, Edward Holcroft, Gordon Alexander, Mark Strong",1 win & 4 nominations.,"$99,733,121","UK, USA",12 Dec 2017,Matthew Vaughn,"Action, Adventure, Comedy","English, Italian, Swedish",44,"When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the US. These two elite secret organizations must band together to defeat a common enemy.",https://ia.media-imdb.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",22 Sep 2017,True,141 min,Kingsman: The Golden Circle,movie,http://www.foxmovies.com/movies/kingsman-the-golden-circle,"Jane Goldman, Matthew Vaughn, Mark Millar (based on the comic book ""The Secret Service""), Dave Gibbons (based on the comic book ""The Secret Service"")",2017,tt4649466,6.8,"176,915"
32,"Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",Won 2 Oscars. Another 81 wins & 131 nominations.,"$91,800,042","USA, UK, Hungary, Canada",16 Jan 2018,Denis Villeneuve,"Drama, Mystery, Sci-Fi","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",81,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",https://ia.media-imdb.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",06 Oct 2017,True,164 min,Blade Runner 2049,movie,http://bladerunnermovie.com,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"")",2017,tt1856101,8.1,"282,478"
33,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose",4 wins & 4 nominations.,"$91,970,516","USA, Hong Kong",13 Jun 2017,Chad Stahelski,"Action, Crime, Thriller","English, Italian, Russian",75,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",https://ia.media-imdb.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_SX300.jpg,Summit Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",10 Feb 2017,True,122 min,John Wick: Chapter 2,movie,http://www.johnwick.movie/,"Derek Kolstad, Derek Kolstad (based on characters created by)",2017,tt4425200,7.5,"223,231"
34,"T.J. Miller, James Corden, Anna Faris, Maya Rudolph",5 wins & 3 nominations.,"$86,053,485",USA,24 Oct 2017,Tony Leondis,"Animation, Adventure, Comedy",English,12,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",https://ia.media-imdb.com/images/M/MV5BMTkzMzM3OTM2Ml5BMl5BanBnXkFtZTgwMDM0NDU3MjI@._V1_SX300.jpg,Sony Pictures Animation,PG,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",28 Jul 2017,True,86 min,The Emoji Movie,movie,http://www.theemoji-movie.com/,"Tony Leondis (screenplay by), Eric Siegel (screenplay by), Mike White (screenplay by), Tony Leondis (story by), Eric Siegel (story by), John Hoffman (additional screenplay material)",2017,tt4877122,3.1,"38,665"
35,"Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin",6 nominations.,"$85,275,488","USA, Hong Kong, Japan, Mexico, Canada, New Zealand",27 Jun 2017,Dean Israelite,"Action, Adventure, Sci-Fi","English, Mandarin",44,"A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",https://ia.media-imdb.com/images/M/MV5BMTU1MTkxNzc5NF5BMl5BanBnXkFtZTgwOTM2Mzk3MTI@._V1_SX300.jpg,Lionsgate Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",24 Mar 2017,True,124 min,Power Rangers,movie,http://www.PowerRangers.Movie,"John Gatins (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Michele Mulroney (story by), Kieran Mulroney (story by), Haim Saban (based upon ""Power Rangers"" created by), Saburo Yatsude (television series: ""Super Sentai""), Shôtarô Ishinomori (television series: ""Super Sentai"")",2017,tt3717490,6.0,"80,152"
36,"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy",Nominated for 1 Oscar. Another 2 wins & 15 nominations.,"$70,466,891",USA,13 Mar 2018,Carlos Saldanha,"Animation, Adventure, Comedy",English,58,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",https://ia.media-imdb.com/images/M/MV5BOTIwMDI0NjQ4OF5BMl5BanBnXkFtZTgwNjU0MzAyNDM@._V1_SX300.jpg,Blue Sky Studio/20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",15 Dec 2017,True,108 min,Ferdinand,movie,N/A,"Munro Leaf (based on the book by), Robert Lawson (based on the book by), Ron Burch (screen story by), David Kidd (screen story by), Don Rhymer (screen story by), Robert L. Baird (screenplay by), Tim Federle (screenplay by), Brad Copeland (screenplay by)",2017,tt3411444,6.7,"21,438"
37,"Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk",Nominated for 2 Oscars. Another 16 wins & 97 nominations.,"$80,369,969","USA, UK",17 Apr 2018,Steven Spielberg,"Biography, Drama, History",English,83,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.,https://ia.media-imdb.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",12 Jan 2018,True,116 min,The Post,movie,N/A,"Liz Hannah, Josh Singer",2017,tt6294822,7.2,"68,424"
38,"Tom Cruise, Russell Crowe, Annabelle Wallis, Sofia Boutella",3 wins & 15 nominations.,"$80,072,590","China, Japan, USA",12 Sep 2017,Alex Kurtzman,"Action, Adventure, Fantasy","English, Egyptian (Ancient)",34,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",https://ia.media-imdb.com/images/M/MV5BODg1NTIxMzEtM2NmMi00MDQ2LWE5YjYtZTgxYmNhZTQxYWIzXkEyXkFqcGdeQXVyNDYzODU1ODM@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",09 Jun 2017,True,110 min,The Mummy,movie,http://www.themummy.com,"David Koepp (screenplay by), Christopher McQuarrie (screenplay by), Dylan Kussman (screenplay by), Jon Spaihts (screen story by), Alex Kurtzman (screen story by), Jenny Lumet (screen story by)",2017,tt2345759,5.5,"131,079"
39,"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill",N/A,"$75,020,039","Netherlands, China, Bulgaria, USA",21 Nov 2017,Patrick Hughes,"Action, Comedy, Thriller","English, Russian, French, Japanese, Italian, Dutch, Spanish",47,"The world's top bodyguard gets a new client, a hit man who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",https://ia.media-imdb.com/images/M/MV5BMjQ5NjA2NDg1MV5BMl5BanBnXkFtZTgwMDAzNDc4MjI@._V1_SX300.jpg,Summit Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",18 Aug 2017,True,118 min,The Hitman's Bodyguard,movie,http://www.thehitmansbodyguard.movie/,Tom O'Connor,2017,tt1959563,6.9,"125,344"
40,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",1 win & 12 nominations.,"$74,255,908","USA, UK",15 Aug 2017,Ridley Scott,"Horror, Sci-Fi, Thriller",English,65,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",https://ia.media-imdb.com/images/M/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",19 May 2017,True,122 min,Alien: Covenant,movie,http://www.foxmovies.com/movies/alien-covenant,"Dan O'Bannon (based on characters created by), Ronald Shusett (based on characters created by), Jack Paglen (story by), Michael Green (story by), John Logan (screenplay by), Dante Harper (screenplay by)",2017,tt2316204,6.4,"197,691"
41,"Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",1 win & 10 nominations.,"$73,895,861","USA, Canada, France, UK, India",12 Sep 2017,David Soren,"Animation, Action, Comedy",English,69,"2 overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",https://ia.media-imdb.com/images/M/MV5BMjE1MzM2NzgzNV5BMl5BanBnXkFtZTgwODU3NTI0MTI@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",02 Jun 2017,True,89 min,Captain Underpants: The First Epic Movie,movie,http://www.dreamworks.com/captainunderpants/,"Nicholas Stoller (screenplay by), Dav Pilkey (based on the epic novels by), David Soren (additional screenplay material by)",2017,tt2091256,6.2,"17,373"
42,"Mila Kunis, Kristen Bell, Kathryn Hahn, Christine Baranski",1 win & 1 nomination.,"$72,080,547","USA, China",06 Feb 2018,"Jon Lucas, Scott Moore","Adventure, Comedy",English,42,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",https://ia.media-imdb.com/images/M/MV5BMTUwNTA4MDMxNl5BMl5BanBnXkFtZTgwMjE4NjQ0MzI@._V1_SX300.jpg,STXfilms,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",01 Nov 2017,True,104 min,A Bad Moms Christmas,movie,http://badmomsxmas.com,"Jon Lucas, Scott Moore",2017,tt6359956,5.5,"21,100"
43,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",3 nominations.,"$64,304,940","USA, India",02 May 2017,Lasse Hallström,"Adventure, Comedy, Drama",English,43,A dog looks to discover his purpose in life over the course of several lifetimes and owners.,https://ia.media-imdb.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_SX300.jpg,Amblin Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",27 Jan 2017,True,100 min,A Dog's Purpose,movie,http://www.adogspurposemovie.com/,"W. Bruce Cameron (screenplay), Cathryn Michon (screenplay), Audrey Wells (screenplay), Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), W. Bruce Cameron (based on the novel by)",2017,tt1753383,6.9,"42,229"
44,"Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer",Won 4 Oscars. Another 101 wins & 293 nominations.,"$57,393,976",USA,13 Mar 2018,Guillermo del Toro,"Adventure, Drama, Fantasy","English, American Sign Language, Russian, French",87,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",https://ia.media-imdb.com/images/M/MV5BNGNiNWQ5M2MtNGI0OC00MDA2LWI5NzEtMmZiYjVjMDEyOWYzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",22 Dec 2017,True,123 min,The Shape of Water,movie,https://www.facebook.com/theshapeofwater/,"Guillermo del Toro (screenplay by), Vanessa Taylor (screenplay by), Guillermo del Toro (story by)",2017,tt5580390,7.4,"207,663"
45,"Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani",4 nominations.,"$58,938,889","USA, Denmark",19 Dec 2017,"Charlie Bean, Paul Fisher, Bob Logan","Animation, Action, Adventure",English,55,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",https://ia.media-imdb.com/images/M/MV5BNDI3MDljMTQtYzBiYS00NDk2LTlhYzUtYmM0NWIyMmZkMDZkXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",22 Sep 2017,True,101 min,The Lego Ninjago Movie,movie,https://www.lego.com/en-us/ninjago,"Bob Logan (screenplay by), Paul Fisher (screenplay by), William Wheeler (screenplay by), Tom Wheeler (screenplay by), Jared Stern (screenplay by), John Whittington (screenplay by), Hilary Winston (story by), Bob Logan (story by), Paul Fisher (story by), William Wheeler (story by), Tom Wheeler (story by), Dan Hageman (story by), Kevin Hageman (story by)",2017,tt3014284,6.0,"12,734"
46,"Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario",3 wins & 10 nominations.,"$58,009,442","UK, China, USA",29 Aug 2017,Seth Gordon,"Action, Comedy, Crime","English, Spanish",37,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",https://ia.media-imdb.com/images/M/MV5BNTA4MjQ0ODQzNF5BMl5BanBnXkFtZTgwNzA5NjYzMjI@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",25 May 2017,True,116 min,Baywatch,movie,https://www.facebook.com/BaywatchMovie,"Michael Berk (based on the series ""Baywatch"" created by), Douglas Schwartz (based on the series ""Baywatch"" created by), Gregory J. Bonann (based on the series ""Baywatch"" created by), Jay Scherick (story by), David Ronn (story by), Thomas Lennon (story by), Robert Ben Garant (story by), Damian Shannon (screenplay by), Mark Swift (screenplay by)",2017,tt1469304,5.6,"99,040"
47,"Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",1 nomination.,"$57,330,873",USA,30 May 2017,Stuart Hazeldine,"Drama, Fantasy",English,32,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""",https://ia.media-imdb.com/images/M/MV5BMjI3MDMxNzcxNl5BMl5BanBnXkFtZTgwODc4MzkwOTE@._V1_SX300.jpg,Lionsgate,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",03 Mar 2017,True,132 min,The Shack,movie,http://www.theshack.movie/,"John Fusco (screenplay by), Andrew Lanham (screenplay by), Destin Daniel Cretton (screenplay by), William P. Young (based on the book by), Wayne Jacobsen (in collaboration with), Brad Cummings (in collaboration with)",2017,tt2872518,6.3,"20,881"
48,"Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn, Lily James",Won 2 Oscars. Another 40 wins & 63 nominations.,"$28,086,332","USA, UK",27 Feb 2018,Joe Wright,"Biography, Drama, History","English, French, German",75,"During the early days of World War II, the fate of Western Europe hangs on the newly-appointed British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on.",https://ia.media-imdb.com/images/M/MV5BNTU4MjMwOTgyMV5BMl5BanBnXkFtZTgwODQzNjY2NDM@._V1_SX300.jpg,Focus Features,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",22 Dec 2017,True,125 min,Darkest Hour,movie,http://focusfeatures.com/darkesthour,Anthony McCarten,2017,tt4555426,7.4,"83,016"
49,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",1 nomination.,"$55,398,005",USA,16 Jan 2018,Christopher Landon,"Horror, Mystery, Thriller",English,57,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",https://ia.media-imdb.com/images/M/MV5BMTk0ODMyNjk1NF5BMl5BanBnXkFtZTgwNDkxOTk4MzI@._V1_SX300.jpg,Universal Studios,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",13 Oct 2017,True,96 min,Happy Death Day,movie,http://www.happydeathdaymovie.com/,Scott Lobdell,2017,tt5308322,6.5,"54,340"
